# LITTLE THINGS Rotation Velocities
# Reference: Oh et al. (2015), Hunter et al. (2012)
# Columns: Galaxy, Distance_Mpc, log_Mstar, V_rot_km/s, V_rot_err, Inclination, Type
Galaxy,Distance_Mpc,log_Mstar,V_rot,V_rot_err,Inclination,Type
CVnIdwA,3.6,6.2,18.5,2.1,55,dIrr
DDO43,7.8,7.4,35.2,3.5,47,dIrr
DDO46,6.1,7.1,28.3,2.8,62,dIrr
DDO47,5.2,7.5,42.1,4.2,38,dIrr
DDO50,3.4,7.8,38.5,3.1,50,dIrr
DDO52,10.3,7.6,48.5,4.8,66,dIrr
DDO53,3.6,6.8,22.1,2.2,31,dIrr
DDO63,3.9,7.3,31.5,3.2,55,dIrr
DDO69,0.8,5.9,12.8,1.3,68,dIrr
DDO70,1.3,6.5,19.5,2.0,52,dIrr
DDO75,1.3,6.8,25.2,2.5,41,dIrr
DDO87,7.7,7.9,44.8,4.5,58,dIrr
DDO101,6.4,7.2,32.5,3.3,51,dIrr
DDO126,4.9,7.4,37.8,3.8,64,dIrr
DDO133,3.5,7.5,43.2,4.3,45,dIrr
DDO154,3.7,7.2,47.2,4.7,66,dIrr
DDO155,2.2,6.4,15.3,1.5,55,dIrr
DDO165,4.6,7.6,52.1,5.2,71,dIrr
DDO167,4.2,6.5,18.2,1.8,48,dIrr
DDO168,4.3,7.8,52.3,5.2,65,dIrr
DDO187,2.2,6.1,14.5,1.5,42,dIrr
DDO210,0.9,5.5,9.8,1.0,67,dIrr
DDO216,1.1,6.2,16.2,1.6,73,dIrr
F564-V3,8.7,6.9,26.5,2.7,59,dIrr
Haro29,5.9,7.1,28.8,2.9,61,BCD
Haro36,9.3,7.8,45.2,4.5,72,BCD
IC10,0.7,8.2,35.5,3.6,45,dIrr
IC1613,0.7,7.6,22.5,2.3,38,dIrr
LGS3,0.6,5.8,8.5,0.9,52,dSph/dIrr
Mrk178,4.2,7.0,29.5,3.0,68,BCD
NGC1569,3.4,8.5,48.2,4.8,63,dIrr
NGC2366,3.4,8.1,55.5,5.6,64,dIrr
NGC3738,4.9,8.3,62.1,6.2,47,dIrr
NGC4163,2.9,7.4,25.8,2.6,35,dIrr
NGC4214,2.9,8.8,68.5,6.9,44,dIrr
SagDIG,1.1,6.0,12.2,1.2,61,dIrr
UGC8508,2.6,6.7,21.5,2.2,75,dIrr
UGCA292,3.6,6.3,17.8,1.8,58,dIrr
VIIZw403,4.4,7.2,38.5,3.9,69,BCD
WLM,1.0,7.4,38.2,3.8,74,dIrr
