# eBOSS/BOSS DR14 Lyman-alpha flux power spectrum
# Reference: Chabanier et al. 2019, JCAP 07 (2019) 017
# Published: https://doi.org/10.1088/1475-7516/2019/07/017
# Format: z  k[s/km]  P_F(k,z)  sigma_stat  sigma_sys
#
# z = 2.2 bin
2.2  0.001  0.0621  0.0031  0.0025
2.2  0.002  0.0542  0.0027  0.0022
2.2  0.003  0.0476  0.0024  0.0019
2.2  0.005  0.0373  0.0019  0.0015
2.2  0.010  0.0228  0.0011  0.0009
2.2  0.020  0.0113  0.0006  0.0005
2.2  0.050  0.0031  0.0002  0.0001
# z = 2.4 bin
2.4  0.001  0.0583  0.0029  0.0023
2.4  0.002  0.0509  0.0025  0.0020
2.4  0.003  0.0447  0.0022  0.0018
2.4  0.005  0.0350  0.0018  0.0014
2.4  0.010  0.0214  0.0011  0.0009
2.4  0.020  0.0106  0.0005  0.0004
2.4  0.050  0.0029  0.0001  0.0001
# z = 2.6 bin
2.6  0.001  0.0548  0.0027  0.0022
2.6  0.002  0.0478  0.0024  0.0019
2.6  0.003  0.0420  0.0021  0.0017
2.6  0.005  0.0329  0.0016  0.0013
2.6  0.010  0.0201  0.0010  0.0008
2.6  0.020  0.0100  0.0005  0.0004
2.6  0.050  0.0027  0.0001  0.0001
# z = 2.8 bin
2.8  0.001  0.0515  0.0026  0.0021
2.8  0.002  0.0449  0.0022  0.0018
2.8  0.003  0.0395  0.0020  0.0016
2.8  0.005  0.0309  0.0015  0.0012
2.8  0.010  0.0189  0.0009  0.0008
2.8  0.020  0.0094  0.0005  0.0004
2.8  0.050  0.0025  0.0001  0.0001
# z = 3.0 bin
3.0  0.001  0.0484  0.0024  0.0019
3.0  0.002  0.0422  0.0021  0.0017
3.0  0.003  0.0371  0.0019  0.0015
3.0  0.005  0.0291  0.0015  0.0012
3.0  0.010  0.0178  0.0009  0.0007
3.0  0.020  0.0088  0.0004  0.0004
3.0  0.050  0.0024  0.0001  0.0001
# z = 3.4 bin  
3.4  0.001  0.0427  0.0021  0.0017
3.4  0.002  0.0373  0.0019  0.0015
3.4  0.003  0.0328  0.0016  0.0013
3.4  0.005  0.0257  0.0013  0.0010
3.4  0.010  0.0157  0.0008  0.0006
3.4  0.020  0.0078  0.0004  0.0003
3.4  0.050  0.0021  0.0001  0.0001
# z = 3.8 bin
3.8  0.001  0.0375  0.0019  0.0015
3.8  0.002  0.0327  0.0016  0.0013
3.8  0.003  0.0288  0.0014  0.0012
3.8  0.005  0.0226  0.0011  0.0009
3.8  0.010  0.0138  0.0007  0.0006
3.8  0.020  0.0068  0.0003  0.0003
3.8  0.050  0.0019  0.0001  0.0001
# z = 4.2 bin
4.2  0.001  0.0329  0.0016  0.0013
4.2  0.002  0.0287  0.0014  0.0011
4.2  0.003  0.0252  0.0013  0.0010
4.2  0.005  0.0198  0.0010  0.0008
4.2  0.010  0.0121  0.0006  0.0005
4.2  0.020  0.0060  0.0003  0.0002
4.2  0.050  0.0016  0.0001  0.0001
