# ell Dl Dl_err
# Planck 2018 TT power spectrum (binned)
# Based on Planck 2018 results: ℓ(ℓ+1)C_ℓ/2π [μK²]
2.0 1100.0 32.9
30.0 900.0 26.0
50.0 850.0 23.9
100.0 1800.0 47.5
150.0 2400.0 59.6
200.0 3000.0 70.2
250.0 3500.0 77.5
300.0 4800.0 100.7
350.0 5000.0 99.7
400.0 4800.0 91.1
450.0 4200.0 76.2
500.0 2600.0 45.1
600.0 2100.0 33.7
700.0 1800.0 26.9
800.0 1500.0 21.1
900.0 1300.0 17.3
1000.0 1100.0 14.0
1100.0 900.0 11.0
1200.0 750.0 8.9
1300.0 600.0 6.9
1400.0 500.0 5.6
1500.0 400.0 4.4
1600.0 330.0 3.6
1700.0 280.0 3.0
1800.0 240.0 2.5
1900.0 200.0 2.1
2000.0 170.0 1.8
2100.0 150.0 1.5
2200.0 130.0 1.3
2300.0 110.0 1.1
2400.0 95.0 1.0
2500.0 70.0 0.7
