# z mu mu_err
# Pantheon+ supernova compilation (realistic simulation)
# Based on Pantheon+ best-fit ΛCDM: H0=73.04, Ωm=0.334
0.010 33.0896 0.0502
0.015 33.9207 0.0504
0.019 34.5508 0.0505
0.024 35.0508 0.0506
0.029 35.3994 0.0507
0.034 35.7335 0.0508
0.038 36.0704 0.0510
0.043 36.3071 0.0511
0.048 36.5066 0.0512
0.053 36.7422 0.0513
0.057 36.9084 0.0514
0.062 37.0854 0.0516
0.067 37.2681 0.0517
0.072 37.3658 0.0518
0.076 37.5146 0.0519
0.081 37.6803 0.0520
0.086 37.7966 0.0521
0.091 37.9526 0.0523
0.095 38.0361 0.0524
0.100 38.1329 0.0525
0.120 38.6243 0.0530
0.136 38.8638 0.0534
0.152 39.1261 0.0538
0.167 39.3162 0.0542
0.183 39.5507 0.0546
0.199 39.7629 0.0550
0.215 39.9083 0.0554
0.231 40.1189 0.0558
0.247 40.2494 0.0562
0.263 40.4068 0.0566
0.278 40.5385 0.0570
0.294 40.7421 0.0574
0.310 40.8155 0.0578
0.326 40.9062 0.0581
0.342 41.0767 0.0585
0.358 41.1275 0.0589
0.373 41.2761 0.0593
0.389 41.3138 0.0597
0.405 41.4309 0.0601
0.421 41.5719 0.0605
0.437 41.6803 0.0609
0.453 41.7519 0.0613
0.468 41.8291 0.0617
0.484 41.9067 0.0621
0.500 41.9507 0.0625
0.550 42.2148 0.0638
0.656 42.6702 0.0664
0.761 43.1067 0.0690
0.867 43.4195 0.0717
0.972 43.6409 0.0743
1.078 43.9874 0.0769
1.183 44.2026 0.0796
1.289 44.4114 0.0822
1.394 44.6676 0.0849
1.500 44.8727 0.0875
1.600 45.0321 0.0900
1.775 45.2072 0.0944
1.950 45.4570 0.0988
2.125 45.6876 0.1031
2.300 45.8969 0.1075
