# z D_LCDM D_CGC_small D_CGC_medium D_CGC_large
# Growth factor evolution in CGC theory
0.0100 0.7818 0.7577 0.7336 0.6853
0.0107 0.7821 0.7579 0.7338 0.6854
0.0115 0.7824 0.7582 0.7340 0.6856
0.0123 0.7827 0.7584 0.7342 0.6857
0.0132 0.7830 0.7587 0.7344 0.6859
0.0142 0.7834 0.7591 0.7347 0.6860
0.0152 0.7838 0.7594 0.7350 0.6862
0.0163 0.7842 0.7597 0.7353 0.6864
0.0175 0.7846 0.7601 0.7356 0.6866
0.0187 0.7851 0.7605 0.7359 0.6868
0.0201 0.7856 0.7610 0.7363 0.6870
0.0215 0.7862 0.7614 0.7367 0.6872
0.0231 0.7868 0.7619 0.7371 0.6875
0.0248 0.7874 0.7625 0.7376 0.6878
0.0266 0.7881 0.7630 0.7380 0.6880
0.0285 0.7888 0.7637 0.7386 0.6883
0.0305 0.7895 0.7643 0.7391 0.6887
0.0327 0.7903 0.7650 0.7397 0.6890
0.0351 0.7912 0.7657 0.7403 0.6894
0.0376 0.7921 0.7665 0.7409 0.6898
0.0404 0.7931 0.7674 0.7416 0.6902
0.0433 0.7942 0.7683 0.7424 0.6906
0.0464 0.7953 0.7692 0.7432 0.6911
0.0498 0.7965 0.7703 0.7440 0.6916
0.0534 0.7978 0.7713 0.7449 0.6921
0.0572 0.7991 0.7725 0.7459 0.6926
0.0614 0.8006 0.7737 0.7469 0.6932
0.0658 0.8021 0.7750 0.7480 0.6938
0.0705 0.8037 0.7764 0.7491 0.6944
0.0756 0.8055 0.7779 0.7503 0.6951
0.0811 0.8073 0.7794 0.7516 0.6958
0.0870 0.8093 0.7811 0.7529 0.6966
0.0933 0.8113 0.7828 0.7543 0.6973
0.1000 0.8135 0.7847 0.7558 0.6982
0.1072 0.8158 0.7866 0.7574 0.6990
0.1150 0.8183 0.7887 0.7591 0.6999
0.1233 0.8209 0.7909 0.7609 0.7008
0.1322 0.8236 0.7932 0.7627 0.7018
0.1417 0.8265 0.7956 0.7647 0.7028
0.1520 0.8295 0.7981 0.7667 0.7038
0.1630 0.8327 0.8008 0.7688 0.7049
0.1748 0.8361 0.8036 0.7711 0.7061
0.1874 0.8396 0.8065 0.7734 0.7073
0.2009 0.8432 0.8095 0.7759 0.7085
0.2154 0.8470 0.8127 0.7784 0.7098
0.2310 0.8510 0.8161 0.7811 0.7112
0.2477 0.8552 0.8195 0.7839 0.7127
0.2656 0.8595 0.8232 0.7869 0.7143
0.2848 0.8639 0.8269 0.7899 0.7160
0.3054 0.8685 0.8308 0.7932 0.7178
0.3275 0.8732 0.8349 0.7966 0.7199
0.3511 0.8781 0.8391 0.8001 0.7222
0.3765 0.8830 0.8435 0.8039 0.7249
0.4037 0.8881 0.8480 0.8080 0.7279
0.4329 0.8932 0.8528 0.8123 0.7314
0.4642 0.8984 0.8577 0.8170 0.7355
0.4977 0.9037 0.8628 0.8220 0.7403
0.5337 0.9090 0.8682 0.8275 0.7460
0.5722 0.9142 0.8738 0.8334 0.7526
0.6136 0.9195 0.8797 0.8400 0.7605
0.6579 0.9247 0.8859 0.8472 0.7696
0.7055 0.9298 0.8924 0.8551 0.7803
0.7565 0.9349 0.8993 0.8637 0.7925
0.8111 0.9398 0.9064 0.8730 0.8063
0.8697 0.9446 0.9138 0.8831 0.8217
0.9326 0.9492 0.9215 0.8938 0.8384
1.0000 0.9536 0.9293 0.9049 0.8563
1.0723 0.9578 0.9371 0.9163 0.8749
1.1498 0.9618 0.9447 0.9276 0.8935
1.2328 0.9655 0.9521 0.9386 0.9116
1.3219 0.9691 0.9589 0.9487 0.9284
1.4175 0.9724 0.9651 0.9579 0.9434
1.5199 0.9754 0.9706 0.9657 0.9561
1.6298 0.9782 0.9752 0.9722 0.9662
1.7475 0.9807 0.9791 0.9774 0.9740
1.8738 0.9831 0.9822 0.9813 0.9796
2.0092 0.9852 0.9848 0.9844 0.9836
2.1544 0.9871 0.9869 0.9868 0.9864
2.3101 0.9888 0.9887 0.9887 0.9885
2.4771 0.9903 0.9902 0.9902 0.9902
2.6561 0.9916 0.9916 0.9916 0.9916
2.8480 0.9928 0.9928 0.9928 0.9928
3.0539 0.9938 0.9938 0.9938 0.9938
3.2745 0.9947 0.9947 0.9947 0.9947
3.5112 0.9955 0.9955 0.9955 0.9955
3.7649 0.9962 0.9962 0.9962 0.9962
4.0370 0.9967 0.9967 0.9967 0.9967
4.3288 0.9972 0.9972 0.9972 0.9972
4.6416 0.9977 0.9977 0.9977 0.9977
4.9770 0.9980 0.9980 0.9980 0.9980
5.3367 0.9984 0.9984 0.9984 0.9984
5.7224 0.9986 0.9986 0.9986 0.9986
6.1359 0.9988 0.9988 0.9988 0.9988
6.5793 0.9990 0.9990 0.9990 0.9990
7.0548 0.9992 0.9992 0.9992 0.9992
7.5646 0.9993 0.9993 0.9993 0.9993
8.1113 0.9994 0.9994 0.9994 0.9994
8.6975 0.9995 0.9995 0.9995 0.9995
9.3260 0.9996 0.9996 0.9996 0.9996
10.0000 0.9997 0.9997 0.9997 0.9997
