# z H_LCDM H_CGC_small H_CGC_medium H_CGC_large
# Hubble parameter evolution in CGC theory
0.0100 70.3174 73.7926 77.2678 84.2182
0.0107 70.3406 73.8140 77.2874 84.2342
0.0115 70.3654 73.8369 77.3084 84.2514
0.0123 70.3921 73.8615 77.3310 84.2699
0.0132 70.4207 73.8880 77.3553 84.2899
0.0142 70.4514 73.9164 77.3813 84.3113
0.0152 70.4844 73.9469 77.4094 84.3343
0.0163 70.5199 73.9797 77.4395 84.3591
0.0175 70.5579 74.0149 77.4718 84.3858
0.0187 70.5988 74.0527 77.5066 84.4145
0.0201 70.6428 74.0934 77.5441 84.4453
0.0215 70.6900 74.1371 77.5843 84.4786
0.0231 70.7407 74.1841 77.6276 84.5144
0.0248 70.7952 74.2347 77.6741 84.5530
0.0266 70.8539 74.2891 77.7243 84.5947
0.0285 70.9169 74.3476 77.7782 84.6395
0.0305 70.9847 74.4105 77.8363 84.6879
0.0327 71.0576 74.4782 77.8989 84.7401
0.0351 71.1361 74.5512 77.9662 84.7964
0.0376 71.2205 74.6297 78.0389 84.8572
0.0404 71.3114 74.7143 78.1172 84.9229
0.0433 71.4093 74.8054 78.2016 84.9939
0.0464 71.5146 74.9036 78.2927 85.0707
0.0498 71.6282 75.0096 78.3910 85.1538
0.0534 71.7505 75.1238 78.4971 85.2436
0.0572 71.8824 75.2470 78.6117 85.3410
0.0614 72.0246 75.3800 78.7355 85.4465
0.0658 72.1780 75.5237 78.8694 85.5608
0.0705 72.3435 75.6788 79.0142 85.6849
0.0756 72.5222 75.8466 79.1709 85.8196
0.0811 72.7153 76.0279 79.3405 85.9658
0.0870 72.9238 76.2241 79.5244 86.1249
0.0933 73.1493 76.4365 79.7236 86.2979
0.1000 73.3933 76.6665 79.9397 86.4862
0.1072 73.6572 76.9158 80.1743 86.6913
0.1150 73.9431 77.1860 80.4290 86.9150
0.1233 74.2527 77.4793 80.7059 87.1591
0.1322 74.5885 77.7977 81.0070 87.4256
0.1417 74.9527 78.1437 81.3347 87.7168
0.1520 75.3480 78.5198 81.6917 88.0353
0.1630 75.7774 78.9291 82.0807 88.3840
0.1748 76.2442 79.3747 82.5051 88.7660
0.1874 76.7520 79.8602 82.9684 89.1849
0.2009 77.3048 80.3897 83.4746 89.6445
0.2154 77.9070 80.9676 84.0281 90.1493
0.2310 78.5636 81.5987 84.6338 90.7040
0.2477 79.2801 82.2886 85.2972 91.3143
0.2656 80.0625 83.0434 86.0243 91.9861
0.2848 80.9176 83.8697 86.8218 92.7261
0.3054 81.8529 84.7751 87.6974 93.5419
0.3275 82.8768 85.7680 88.6593 94.4418
0.3511 83.9985 86.8577 89.7168 95.4351
0.3765 85.2285 88.0544 90.8803 96.5322
0.4037 86.5781 89.3697 92.1613 97.7446
0.4329 88.0601 90.8163 93.5725 99.0849
0.4642 89.6886 92.4083 95.1281 100.5675
0.4977 91.4794 94.1616 96.8437 102.2080
0.5337 93.4500 96.0934 98.7368 104.0237
0.5722 95.6195 98.2231 100.8268 106.0340
0.6136 98.0095 100.5721 103.1348 108.2601
0.6579 100.6436 103.1641 105.6845 110.7255
0.7055 103.5480 106.0250 108.5020 113.4561
0.7565 106.7516 109.1838 111.6160 116.4805
0.8111 110.2863 112.6723 115.0583 119.8303
0.8697 114.1874 116.5256 118.8637 123.5401
0.9326 118.4936 120.7823 123.0709 127.6482
1.0000 123.2477 125.4849 127.7221 132.1965
1.0723 128.4967 130.6804 132.8641 137.2314
1.1498 134.2924 136.4203 138.5481 142.8038
1.2328 140.6918 142.7613 144.8308 148.9697
1.3219 147.7574 149.7658 151.7742 155.7910
1.4175 155.5583 157.5027 159.4471 163.3358
1.5199 164.1704 166.0476 167.9249 171.6793
1.6298 173.6774 175.4841 177.2908 180.9043
1.7475 184.1713 185.9041 187.6369 191.1026
1.8738 195.7537 197.4092 199.0647 202.3756
2.0092 208.5368 210.1115 211.6861 214.8355
2.1544 222.6443 224.1348 225.6254 228.6065
2.3101 238.2129 239.6162 241.0195 243.8262
2.4771 255.3937 256.7071 258.0205 260.6472
2.6561 274.3540 275.5752 276.7963 279.2385
2.8480 295.2789 296.4061 297.5332 299.7876
3.0539 318.3731 319.4054 320.4376 322.5022
3.2745 343.8637 344.8009 345.7381 347.6125
3.5112 372.0023 372.8452 373.6881 375.3739
3.7649 403.0676 403.8179 404.5682 406.0689
4.0370 437.3688 438.0293 438.6898 440.0109
4.3288 475.2488 475.8233 476.3978 477.5467
4.6416 517.0880 517.5811 518.0742 519.0605
4.9770 563.3083 563.7256 564.1429 564.9776
5.3367 614.3779 614.7257 615.0735 615.7691
5.7224 670.8162 671.1013 671.3865 671.9567
6.1359 733.1999 733.4295 733.6591 734.1182
6.5793 802.1686 802.3500 802.5313 802.8940
7.0548 878.4325 878.5728 878.7131 878.9937
7.5646 962.7795 962.8857 962.9918 963.2041
8.1113 1056.0844 1056.1628 1056.2412 1056.3980
8.6975 1159.3179 1159.3744 1159.4308 1159.5437
9.3260 1273.5578 1273.5973 1273.6368 1273.7159
10.0000 1400.0000 1400.0269 1400.0537 1400.1074
